timestamp,Xmm,Ymm,Zmm,TouchDetected,OutgoingPacket,IncomingPacket,GainPropAb, GainPropAd, GainPropFl, GainPropEx,PropA, PropB, PropC,GainIntegAb, GainIntegAd, GainIntegFl, GainIntegEx,IntegA, IntegB, IntegC,GainDerivAb, GainDerivAd, GainDerivFl, GainDerivEx,DerivA, DerivB, DerivC,Heading5
85.3051,65,4,440,0,DRIVE [ 92 ] [ 1 ] [ 1557 1924 1760 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 92 ] [ 1 ] [ 1552 1924 1755 ] [   36   18   24 ] [   3033   6857  12572 ] [ 0 ],1.10,1.10,1.10,1.10,73.15,4.12,0.00,0.50,0.50,0.50,0.50,1.78,0.29,0.00,0.00,0.00,0.00,0.50,-0.00,-0.00,0.00,0
0.00248693,65,4,440,0,DRIVE [ 93 ] [ 1 ] [ 1926 1924 1885 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 93 ] [ 1 ] [ 1562 1924 1764 ] [   36   18   24 ] [   3024   6854  12569 ] [ 0 ],1.10,1.10,1.10,1.10,64.26,4.23,0.00,0.50,0.50,0.50,0.50,1.52,0.25,0.00,0.00,0.00,0.00,0.50,-0.00,-0.00,0.00,0
0.0180172,65,6,441,0,DRIVE [ 94 ] [ 1 ] [ 1920 1924 1883 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 93 ] [ 1 ] [ 1926 1924 1885 ] [   36   18   25 ] [   3024   6854  12569 ] [ 0 ],1.10,1.10,1.10,1.10,71.33,6.28,0.00,0.50,0.50,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0
0.0321128,65,5,440,0,DRIVE [ 94 ] [ 1 ] [ 1914 1924 1881 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 94 ] [ 1 ] [ 1920 1924 1883 ] [   36   18   25 ] [   3024   6854  12569 ] [ 0 ],1.10,1.10,1.10,1.10,70.95,5.99,0.00,0.50,0.50,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.50,-0.00,-0.00,0.00,0
0.045986,65,5,441,0,DRIVE [ 95 ] [ 1 ] [ 1909 1924 1879 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 94 ] [ 1 ] [ 1914 1924 1881 ] [   36   18   25 ] [   2784   6858  12519 ] [ 0 ],1.10,1.10,1.10,1.10,71.15,5.73,0.00,0.50,0.50,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0
0.0631583,64,5,436,0,DRIVE [ 95 ] [ 1 ] [ 1904 1924 1878 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 95 ] [ 1 ] [ 1909 1924 1879 ] [    8   12   12 ] [   2784   6858  12519 ] [ 0 ],1.10,1.10,1.10,1.10,70.45,5.43,0.00,0.50,0.50,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.50,-0.00,-0.00,0.00,0
0.077401,64,5,435,0,DRIVE [ 96 ] [ 1 ] [ 1898 1924 1876 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 95 ] [ 1 ] [ 1904 1924 1878 ] [    8   12   12 ] [   2784   6858  12519 ] [ 0 ],1.10,1.10,1.10,1.10,70.44,5.05,0.00,0.50,0.50,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.50,-0.00,-0.00,0.00,0
0.090894,67,5,435,0,DRIVE [ 96 ] [ 1 ] [ 1891 1924 1874 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 96 ] [ 1 ] [ 1898 1924 1876 ] [    8   12   12 ] [   1504   6862  12538 ] [ 0 ],1.10,1.10,1.10,1.10,73.87,5.82,0.00,0.50,0.50,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0
0.10422,71,6,434,0,DRIVE [ 97 ] [ 1 ] [ 1883 1924 1871 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 96 ] [ 1 ] [ 1891 1924 1874 ] [   23   16   27 ] [   1504   6862  12538 ] [ 0 ],1.10,1.10,1.10,1.10,78.38,6.79,0.00,0.50,0.50,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0
0.117548,76,7,433,0,DRIVE [ 97 ] [ 1 ] [ 1875 1924 1869 ] [    0    0    0 ] [      0      0      0 ] [ 0 ],drive [ 97 ] [ 1 ] [ 1883 1924 1871 ] [   23   16   27 ] [   1504   6862  12538 ] [ 0 ],1.10,1.10,1.10,1.10,83.68,7.25,0.00,0.50,0.50,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0
