timestamp,errXmm,errYmm,errZmm,TouchDetected,OutgoingPacket,IncomingPacket,Serial0Enabled,Serial0Open,Serial1Enabled,Serial1Open,kpx,kpy,kix,kiy,kdx,kdy
0.00122261,4,25,644,0,E1A1967B1932C1987X,TE1A0B1C0D052X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.0143731,18,67,641,0,E1A1967B1932C1987X,TE1A0B1C0D052X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.0289801,18,67,641,0,E1A1967B1932C1987X,TE1A0B1C0D050X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.0439369,20,72,617,0,E1A1967B1932C1987X,TE1A0B1C0D050X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.0560484,21,73,627,0,E1A1967B1932C1987X,TE1A0B1C0D050X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.0767918,21,73,627,0,E1A1967B1932C1987X,TE1A0B1C0D049X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.0890389,21,73,627,0,E1A1967B1932C1987X,TE1A0B1C0D049X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.101236,21,73,627,0,E1A1967B1932C1987X,TE1A0B1C0D047X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.114136,21,73,627,0,E1A1967B1932C1987X,TE1A0B1C0D046X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.127062,-3,91,630,0,E1A1967B1987C1987X,TE1A0B1C0D046X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.139871,-18,98,620,0,E1A1967B1987C1987X,TE1A0B1C0D046X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.153235,-30,105,621,0,E1A1967B1987C1987X,TE1A0B0C0D046X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.166468,-41,111,621,0,E1A1967B1987C1987X,TE1A0B0C0D045X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.179475,-53,117,620,0,E1A1967B1987C1987X,TE1A0B0C0D045X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.192481,-64,123,619,0,E1A1967B1987C1987X,TE1A0B0C0D046X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.204601,-64,123,619,0,E1A1967B1987C1987X,TE1A0B0C0D046X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.22101,-98,147,615,0,E1A1965B1976C1987X,TE1A0B0C0D046X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.234048,-102,153,615,0,E1A1962B1960C1987X,TE1A0B0C0D045X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.247474,-103,155,611,0,E1A1959B1947C1987X,TE1A0B0C0D046X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.26002,-105,159,609,0,E1A1956B1933C1987X,TE1A0B0C0D045X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.272993,-106,162,603,0,E1A1954B1919C1987X,TE1A0B0C0D045X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.285847,-109,167,604,0,E1A1951B1904C1987X,TE1A0B1C0D045X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.298469,-112,170,604,0,E1A1948B1888C1987X,TE1A0B1C0D045X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.311652,-116,175,605,0,E1A1945B1870C1987X,TE1A0B1C0D045X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.324555,-121,178,602,0,E1A1942B1849C1987X,TE1A0B1C0D045X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.337281,-128,182,600,0,E1A1941B1825C1987X,TE1A0B1C0D045X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.349559,-308,286,548,0,E1A1953B1576C1987X,TE1A0B1C0D045X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.362677,-286,258,490,0,E1A1955B1527C1987X,TE1A0B2C0D045X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.37551,-304,268,502,0,E1A1957B1472C1987X,TE1A0B2C0D045X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.387948,-311,270,503,0,E1A1958B1423C1987X,TE1A0B2C0D045X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.400477,-321,273,506,0,E1A1960B1372C1987X,TE1A0B3C0D045X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.413098,-323,271,498,0,E1A1963B1319C1987X,TE1A0B3C0D045X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.425408,-328,268,487,0,E1A1963B1256C1986X,TE1A0B3C0D046X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.4387,-333,266,474,0,E1A1963B1196C1981X,TE1A0B3C0D046X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.451003,-343,267,466,0,E1A1963B1124C1974X,TE1A0B4C0D045X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.463277,-354,268,457,0,E1A1963B1050C1967X,TE1A0B4C0D047X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.475928,-363,267,445,0,E1A1963B0972C1959X,TE1A0B4C0D047X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.487954,-375,268,435,0,E1A1963B0886C1949X,TE1A0B4C0D047X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.500362,-381,266,419,0,E1A1963B0803C1938X,TE1A0B5C0D047X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.513149,-391,264,403,0,E1A1963B0704C1925X,TE1A0B5C0D048X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.525922,-399,261,386,0,E1A1963B0602C1910X,TE1A0B6C1D049X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.538638,-407,259,370,0,E1A1963B0499C1895X,TE1A0B6C1D049X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.550845,-407,259,370,0,E1A1967B0499C1987X,TE1A0B7C1D049X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.563682,-414,256,353,0,E1A1967B0348C1875X,TE1A0B7C0D049X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.576526,-414,256,353,0,E1A1967B0348C1987X,TE1A0B7C1D050X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.589536,-424,255,339,0,E1A1967B0189C1853X,TE1A0B7C1D050X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.604158,-424,255,339,0,E1A1967B0189C1987X,TE1A0B8C1D050X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.616967,-433,255,326,0,E1A1967B0091C1836X,TE1A0B8C0D050X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.630034,-433,255,326,0,E1A1967B0091C1987X,TE1A0B9C1D050X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.642935,-433,255,326,0,E1A1967B0091C1987X,TE1A0B9C0D050X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.655756,-433,255,326,0,E1A1967B0091C1987X,TE1A0B9C0D050X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
0.66992,-433,255,326,0,E1A1967B0091C1987X,TE1A0B9C0D049X,1,1,1,1,1.4,1.2,1.2,1.2,0.0,0.0
